Date,Startup Name,Vertical,Sub-Vertical,City,Investor,Type,Amount (in USD),Remarks
02/01/2015,LensKart,,,,"TPG Growth, TR Capital, IDG Ventures",Private Equity,"2,150,000",
02/01/2015,VioletStreet,,,,"Venkat Vallabhneni, Sudhakar Reddy, Srinivasa Rao Paturi",Seed Funding,"315,000",
05/01/2015,Lookup,,,,"DeNA Co., Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)",Seed Funding,"380,000",
05/01/2015,#Fame,,,,TO THE NEW Ventures,Private Equity,"10,000,000",
05/01/2015,Gympik,,,,"Tom Clausen, Rohan Ajila, Haldyn Glass",Seed Funding,"135,000",
06/01/2015,Near.in,,,,"Anupam Mittal, Manish Vij, Prashant Tandon, Gaurav Agarwal, Akash Agarwal, Himanshu Aggarwal, Kevin Parikh",Seed Funding,"285,000",
06/01/2015,Purplle.com,,,,IvyCap Ventures,Private Equity,N/A,
06/01/2015,NumberMall,,,,SRI Capital,Private Equity,"10,000,000",
06/01/2015,Tookitaki,,,,"Jungle Ventures, Redbright Partners, Blume Ventures","Private
Equity","1,000,000",
06/01/2015,Frankly,,,,Matrix Partners,Seed Funding,"600,000",
07/01/2015,Faircent,,,,"Devesh Sachdev, Ashish Tiwari",Seed Funding,N/A,Valuation at $4M
07/01/2015,Nurturey,,,,Seedrs Crowd funding platform,Crowd funding,"125,000",
07/01/2015,Bewakoof,,,,"Rohit Bansal, Kunal Bahl, Nikhil Vora",Seed Funding,N/A,
07/01/2015,Stridalyzer,,,,Kickstarter,Crowd Funding,"30,768",
07/01/2015,Commonfloor,,,,Google Capital,Private Equity,"5,000,000",3rd Round
09/01/2015,Sokrati,,,,"IvyCap Ventures, Inventus Capital",Private Equity,N/A,Series B
09/01/2015,YepMe,,,,"JS Capital, Helion Venture Partners, Capricorn Investment Group",Private Equity,"13,000,000",Series A
09/01/2015,TapCibo,,,,Alok Goel,Seed Funding,N/A,
12/01/2015,Verayu,,,,"GWB Group, Blume Ventures",Private Equity,N/A,
12/01/2015,MyDreamStore,,,,Undisclosed Investors,Seed Funding,"290,000",
13/01/2015,AppVirality,,,,"Rajan Anandan, Mike Galgon, Ashim Mehra, Mohit Saxena, Ravi Gururaj, TNN Capital & IIG",Seed Funding,N/A,
14/01/2015,RateGain,,,,TA Associates,Private Equity,"50,000,000",
15/01/2015,Wishberry,,,,"Rajan Anandan, Shankar Mahadevan, Deep Kalra & Others",Seed Funding,"650,000",
16/01/2015,eKincare,,,,Adroitent Pvt. Ltd.,Seed Funding,"161,000",
18/01/2015,ShopClues,,,,Tiger Global & Other investors,Private Equity,"100,000,000",More Details
19/01/2015,Refiral,,,,Cogent E Services,Seed Funding,"330,000",
19/01/2015,Ping Digital,,,,Consortium of Angel Investors,Seed Funding,N/A,
19/01/2015,HealthyWorld.in,,,,Group of Angel Investors,Seed Funding,"200,000",
19/01/2015,Hostel Dunia,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",
19/01/2015,Play your sport,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",
19/01/2015,Yo Grad,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",
19/01/2015,Enabli,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",
19/01/2015,CBS,,,,Hyderabad Angels (at Startup Heroes event),Seed Funding,"16,000",
20/01/2015,Hopscotch,,,,Eduardo Saverin & Velos Capital,Private Equity,"11,000,000",
20/01/2015,Amagi Media Labs,,,,Premji Invest & Mayfield Fund,Private Equity,N/A,
20/01/2015,HealthyWorld.in,,,,Group of Angel Investors,Seed Funding,"200,000",
21/01/2015,Simplilearn,,,,"Mayfield India, Kalaari Capital, Helion Ventures",Private Equity,"14,750,000",
21/01/2015,MyDreamStore,,,,Undisclosed Investors,Seed Funding,"325,000",
21/05/2015,Knit,,,,"Rohit Jain, Amit Rambhia & Others",Seed Funding,N/A,
21/05/2015,Villgro,,,,Michael & Susan Dell Foundation,Seed Funding,"3,250,000",To fund edu startups
22/01/2015,Corporate360,,,,Group of Angel Investors,Seed Funding,"200,000",
22/01/2015,Freshmonk,,,,"August Capital Partners, Michael Blakey",Seed Funding,N/A,
22/01/2015,Englishleap.com,,,,ANALEC,Private Equity,N/A,Majority Stake
22/01/2015,Antuit,,,,"Goldman Sachs, Zodius Capital",Private Equity,"56,000,000",
22/01/2015,Caratlane.com,,,,Tiger Global,Private Equity,"31,000,000",Series D
24/01/2015,Aasaanjobs,,,,"Inventus Capital Partners, IDG Ventures",Seed Funding,"1,500,000",
24/01/2015,Impartus,,,,Kaizen Private Equity,Private Equity,N/A,Series A
25/01/2015,Thrill App,,,,People Group (Shaadi.com),Private Equity,"1,000,000",Strategic Funding
27/01/2015,CarDekho.com,,,,"Hillhouse Capital, Tybourne Capital",Private Equity,"50,000,000",Series B
28/01/2015,Grabhouse.com,,,,"Kalaari Capital, Sequoia Capital",Private Equity,"2,500,000",Series A
29/01/2015,Printvenue,,,,Asia Pacific Internet Group,Private Equity,"4,500,000",
29/01/2015,Graphene,,,,KARSEMVEN Fund,Private Equity,"825,000",Govt backed VC Fund
30/01/2015,Mad Street Den,,,,"Exfinity Fund, GrowX Ventures.",Private Equity,"1,500,000",
30/01/2015,Simplotel,,,,MakeMyTrip,Private Equity,N/A,"Strategic Funding, Minority stake"
31/01/2015,couponmachine.in,,,,UK based Group of Angel Investors,Seed Funding,"140,000",
02/02/2015,Faaya,,,,Group of Angel Investors,Seed Funding,"16,600",At the 10 minute million event
02/02/2015,InstaBounce,,,,Group of Angel Investors,Seed Funding,"16,600",At the 10 minute million event
02/02/2015,Chloroplast Foods,,,,Group of Angel Investors,Seed Funding,"16,600",At the 10 minute million event
02/02/2015,Dealwithus,,,,Group of Angel Investors,Seed Funding,"16,600",At the 10 minute million event
02/02/2015,CleverSharks,,,,Group of Angel Investors,Seed Funding,"16,600",At the 10 minute million event
02/02/2015,Leaf,,,,Group of Angel Investors,Seed Funding,"16,600",At the 10 minute million event
02/02/2015,SmartPocket,,,,"Sol Primero, Rajiv Mehta",Seed Funding,"250,000",For mobile app
02/02/2015,Yumist,,,,Orios Venture Partner,Private Equity,"1,000,000",
02/02/2015,NowFloats,,,,Omidyar Network,Private Equity,N/A,Series A
02/02/2015,FirstCry,,,,Valiant Capital Partners,Private Equity,"26,000,000",Series D
02/02/2015,HolaChef,,,,India Quotient,Seed Funding,"325,000",
03/02/2015,Frsh.co.in,,,,"India Quotient, Kae Capital",Seed Funding,"518,000",
03/02/2015,Manthan,,,,"Temasek, Norwest Venture Partners",Private Equity,"60,000,000",Series D
05/02/2015,Kobster.com,,,,Splice Advisors,Seed Funding,N/A,
05/02/2015,Culture Machine,,,,"Tiger Global, Times Internet, Zodius Capital",Private Equity,"18,000,000",Series B
05/02/2015,Paytm,,,,Ant Financial Services (Alipay),Private Equity,N/A,Strategic Investment (25% stake)
